数值ID,数值名称,初始值,备注
0,主武器开火速率,0.25,秒/次，值越小射速越快
1,主武器弹道数量,1,
2,主武器穿透数量,0,
3,主武器子弹速度,20,
4,主武器子弹大小,1,
5,主武器伤害,10,
6,主武器暴击率,0,0-1范围
7,主武器暴击伤害倍率,2,
8,主武器射程,8,
9,副武器伤害,10,
10,副武器开火速率,0.2,秒/次
11,副武器激光长度,8,
12,副武器激光数量,1,
13,副武器激光宽度,1,
14,副武器暴击率,0,0-1范围
15,副武器暴击伤害倍率,2,
16,副武器链接数量,0,
17,副武器链接搜索半径,10,
18,商店售卖价格乘数,1,1为原价
19,商店售卖时间乘数,1,1为原时间
20,商店售卖槽数量,1,
21,商店售卖槽单槽容量,99,
22,背包槽位数量,1,
23,背包槽位单槽位容量,4,
24,氧气最大容量,100,
25,氧气消耗速率,3,单位/秒
26,主武器弹药数量,60,
27,主武器弹药消耗,1,每次射击消耗
28,副武器弹药数量,60,
29,副武器弹药消耗,1,每次射击消耗
30,默认地图密度乘数,1,无特定绑定时使用
31,BOSS伤害转氧气系数,1,BOSS命中时扣氧气=伤害×该系数
32,副武器启用,0,0关1开；与技能statID32一致
33,主武器击杀分裂,0,0关1开
34,主武器分裂子弹数量,4,
35,分裂子弹伤害比例,0.5,0-1
36,主武器AOE,0,0关1开
37,主武器AOE半径,3,
38,餐厅锅数量,3,
39,餐盘数量,1,
40,烹饪时间倍率,1,最终时间=原时间×该值
41,餐厅售卖加成率,0,最终价=原价×(1+加成)
42,顾客总数上限,20,
43,店内顾客上限,3,
44,顾客移速倍率,1,
45,主武器弹夹容量,12,
46,副武器弹夹容量,18,
47,主武器换弹时间,1.5,秒
48,副武器换弹时间,1.5,秒
52,宠物_攻击距离,12,飞行跟班；与技能statID52一致
53,宠物_开火间隔,0.45,秒/轮；值越大射速越慢
54,宠物_子弹伤害,12,
55,宠物_子弹大小,1,
56,宠物_连发数量,1,
57,宠物_连发扇角,0,度
58,宠物_减速比例基础,0.2,0-1
59,宠物_减速时长基础,1.5,秒
60,宠物_减速比例乘子,1,
61,宠物_减速时长乘子,1,
62,宠物_子弹移速,18,
63,宠物_子弹旋转角速度,540,
64,宠物_子弹存活时间,4,秒
65,宠物_子弹命中距离,0.35,
66,主武器启用,1,0关1开；仅初始表用
67,主武器分裂最大迭代次数,1,防止无限分裂
68,AOE边缘最低伤害比例,0.3,0-1
69,烹饪排队槽位数量,2,与餐厅UI槽位对应
70,顾客预制体种类数量,0,用于随机/池
71,死亡资源保留率,0.1,0-1；0.1表示10%；技能增量按百分点计算
