技能ID,技能名称,前置技能ID,坐标,最大等级,是否稀有,技能描述,buff效果,等级消耗,图标路径
1,奥术分解仪,,"0,0",1,1,解锁副武器，长按鼠标右键可以采集资源,"(32,1)",0:0,icon_sk_weaponB_increaseCapacity
2,背包扩容1,1,"0,-2",1,0,使背包栏位+1（初始1）,"(22,1)",0:10,icon_sk_backpackAdd
3,魔法强化1,1,"-1,-1",10,0,使魔法弹伤害+5%,"(5,0.05)",0:5|0:5|0:5|0:5|0:5|0:5|0:5|0:5|0:5|0:5,icon_sk_weaponA_increaseATK
4,茂密森林,1,"-1,1",10,0,使蘑菇林带的怪物和南瓜刷新率增加,"(30,(0,0.1));(30,(1,0.1));(30,(2,0.1))",20:10|20:20|20:30|20:40|20:50|20:60|20:70|20:80|20:90|20:100,icon_sk_enemy_spawnmore01
5,大胃王1,1,"1,1",5,0,使饱食度上限+20（初始100）,"(24,0.2)",0:10|0:10|0:10|0:10|0:10,icon_sk_satiety_upperlimit
6,奥术强化1,1,"1,-1",10,0,使奥术分解伤害+10%,"(9,0.1)",0:10|0:10|0:10|0:10|0:10|0:10|0:10|0:10|0:10|0:10|,icon_sk_weaponB_increaseATK
7,链式分解,6,"2,-2",1,1,奥术分解命中会产生奥术链,"(16,1)",0:300,icon_sk_weaponB_increaseRange
8,魔法强化2,3,"-2,-2",10,0,使魔法弹伤害+50%,"(5,0.5)",20:250|20:250|20:250|20:250|20:250|20:250|20:250|20:250|20:250|20:250,icon_sk_weaponA_increaseATK
9,大魔法弹,3,"-2,-1",1,0,使魔法弹大小+50%,"(4,0.5)",20:50,icon_sk_weaponA_increaseRange
10,背包扩容2,2,"-1,-3",1,0,使背包栏位+2,"(22,2)",0:500,icon_sk_backpackAdd
11,栏位容量提升1,2,"0,-3",1,1,使背包栏位容量+2（初始4）,"(23,2)",0:100,icon_sk_storeAdd1
12,收获日,4,"-1,2",10,0,使南瓜掉落率+40%,"(31,(20,0.4))",0:30|0:30|0:30|0:30|0:30|0:30|0:30|0:30|0:30|0:30,icon_sk_resource_getmore01
13,奥术储备1,5,"2,1",1,0,使奥术储备+30（初始50）,"(28,0.6)",0:50,icon_sk_weaponB_increaseCapacity
14,魔力储备1,5,"1,2",1,0,使魔力储备+30（初始50）,"(26,0.6)",20:50,icon_sk_weaponA_increaseCapacity
15,大胃王2,5,"2,2",10,0,使饱食度上限+80,"(24,0.8)",0:50|0:50|0:50|0:50|0:50|0:50|0:50|0:50|0:50|0:50,icon_sk_satiety_upperlimit
16,魔法弹射程1,8,"-3,-1",1,0,使魔法弹射程+25%,"(8,0.25)",20:50,icon_sk_weaponA_increaseRange
17,奥术射程1,6,"3,-1",1,0,使奥术分解射程+25%,"(11,0.25)",0:50,icon_sk_weaponB_increaseRange
18,奥术储备2,13;15,"3,2",1,0,使奥术储备+40,"(28,0.8)",0:500,icon_sk_weaponB_increaseCapacity
19,魔力储备2,14;15,"2,3",1,0,使魔力储备+40,"(26,0.8)",20:800,icon_sk_weaponA_increaseCapacity
20,魔力暴击1,9,"-3,0",4,1,使魔法弹暴击率+5%,"(6,0.05)",20:150|20:150|20:150|20:150,icon_sk_weaponA_increaseATK
21,奥术暴击1,7,"3,0",4,1,使奥术分解暴击率+5%,"(14,0.05)",0:200|0:200|0:200|0:200,icon_sk_weaponB_increaseATK
22,奥术强化2,7,"3,-2",10,0,使奥术分解伤害+30%,"(9,0.3)",0:300|0:300|0:300|0:300|0:300|0:300|0:300|0:300|0:300|0:300,icon_sk_weaponB_increaseATK
23,栏位容量提升2,11,"0,-4",1,1,使背包栏位容量+4,"(23,4)",0:1500,icon_sk_storeAdd1
24,魔法弹速度,16,"-4,0",5,0,使魔法弹飞行速度+20%,"(3,0.2)",20:200,icon_sk_weaponA_increaseRange
